id,gid,x,y,v_x,v_y,radius,time
0,0,7.998957,-0.000737,-0.010428,-0.007375,0.500000,0.100000
1,1,5.656157,5.655691,-0.006927,-0.011592,0.500000,0.100000
2,2,0.000136,7.999484,0.001365,-0.005157,0.500000,0.100000
3,3,-5.656455,5.657085,0.003946,0.002345,0.500000,0.100000
4,4,-7.998534,-0.000213,0.014659,-0.002127,0.500000,0.100000
5,5,-5.655473,-5.656671,0.013768,0.001892,0.500000,0.100000
6,6,0.000707,-7.999852,0.007066,0.001476,0.500000,0.100000
7,7,5.656605,-5.656814,-0.002548,0.000355,0.500000,0.100000
0,0,7.997616,-0.000027,-0.013412,0.007103,0.500000,0.200000
1,1,5.655108,5.654718,-0.010495,-0.009729,0.500000,0.200000
2,2,0.000095,7.999218,-0.000415,-0.002663,0.500000,0.200000
3,3,-5.656433,5.657187,0.000226,0.001029,0.500000,0.200000
4,4,-7.998344,-0.001207,0.001896,-0.009936,0.500000,0.200000
5,5,-5.654661,-5.657080,0.008123,-0.004092,0.500000,0.200000
6,6,0.000207,-8.000111,-0.004995,-0.002583,0.500000,0.200000
7,7,5.655490,-5.657406,-0.011151,-0.005914,0.500000,0.200000
0,0,7.990828,0.001307,-0.067875,0.013347,0.500000,0.300000
1,1,5.653283,5.653313,-0.018248,-0.014044,0.500000,0.300000
2,2,0.000014,7.999228,-0.000808,0.000098,0.500000,0.300000
3,3,-5.656086,5.656247,0.003470,-0.009408,0.500000,0.300000
4,4,-7.998371,-0.001950,-0.000260,-0.007426,0.500000,0.300000
5,5,-5.654491,-5.656844,0.001701,0.002364,0.500000,0.300000
6,6,-0.000404,-7.999608,-0.006110,0.005027,0.500000,0.300000
7,7,5.653990,-5.656644,-0.014996,0.007619,0.500000,0.300000
0,0,7.982067,0.007476,-0.087618,0.061684,0.500000,0.400000
1,1,5.652587,5.653221,-0.006958,-0.000927,0.500000,0.400000
2,2,-0.000022,7.999113,-0.000362,-0.001146,0.500000,0.400000
3,3,-5.655824,5.655844,0.002616,-0.004024,0.500000,0.400000
